Name	Count	set_code
Imperial Aerosaur	6	XLN
Imperial Lancer	3	XLN
Inspiring Cleric	3	XLN
Ixalan's Binding	1	XLN
Kinjalli's Caller	7	XLN
Kinjalli's Sunwing	1	XLN
Legion's Judgment	5	XLN
Legion's Landing	2	XLN
Looming Altisaur	5	XLN
Paladin of the Bloodstained	8	XLN
Pious Interdiction	4	XLN
Priest of the Wakening Sun	2	XLN
Pterodon Knight	6	XLN
Queen's Commission	5	XLN
Rallying Roar	4	XLN
Ritual of Rejuvenation	5	XLN
Sanguine Sacrament	1	XLN
Sheltering Light	2	XLN
Shining Aerosaur	2	XLN
Skyblade of the Legion	5	XLN
Slash of Talons	4	XLN
Steadfast Armasaur	1	XLN
Sunrise Seeker	4	XLN
Territorial Hammerskull	6	XLN
Vampire's Zeal	7	XLN
Air Elemental	4	XLN
Air Elemental	2	W17
Arcane Adaptation	2	XLN
Cancel	7	XLN
Chart a Course	3	XLN
Daring Saboteur	1	XLN
Deadeye Quartermaster	1	XLN
Deeproot Waters	4	XLN
Depths of Desire	7	XLN
Dive Down	5	XLN
Entrancing Melody	3	XLN
Favorable Winds	2	XLN
Fleet Swallower	3	XLN
Headwater Sentries	6	XLN
Herald of Secret Streams	1	XLN
Lookout's Dispersal	2	XLN
Navigator's Ruin	1	XLN
One With the Wind	5	XLN
Opt	6	XLN
Overflowing Insight	2	XLN
Perilous Voyage	5	XLN
Pirate's Prize	6	XLN
Prosperous Pirates	3	XLN
River Sneak	4	XLN
River's Rebuke	2	XLN
Run Aground	6	XLN
Search for Azcanta	1	XLN
Shaper Apprentice	9	XLN
Shipwreck Looter	8	XLN
Shore Keeper	5	XLN
Siren Lookout	6	XLN
Siren Stormtamer	2	XLN
Siren's Ruse	6	XLN
Spell Pierce	7	XLN
Storm Fleet Aerialist	2	XLN
Storm Fleet Spy	1	XLN
Storm Sculptor	6	XLN
Tempest Caller	4	XLN
Watertrap Weaver	11	XLN
Wind Strider	5	XLN
Anointed Deacon	8	XLN
Bishop of the Bloodstained	3	XLN
Blight Keeper	4	XLN
Contract Killing	7	XLN
Costly Plunder	3	XLN
Dark Nourishment	2	XLN
Deadeye Tormentor	6	XLN
Deathless Ancient	1	XLN
Desperate Castaways	5	XLN
Dire Fleet Hoarder	7	XLN
Dire Fleet Interloper	8	XLN
Dire Fleet Ravager	3	XLN
Duress	8	XLN
Duress	3	DTK
Fathom Fleet Captain	1	XLN
Fathom Fleet Cutthroat	7	XLN
Grim Captain's Call	2	XLN
Heartless Pillage	2	XLN
Kitesail Freebooter	3	XLN
Lurking Chupacabra	2	XLN
March of the Drowned	7	XLN
Mark of the Vampire	6	XLN
Queen's Agent	7	XLN
Queen's Bay Soldier	3	XLN
Raiders' Wake	2	XLN
Ruthless Knave	5	XLN
Seekers' Squire	1	XLN
Skittering Heartstopper	4	XLN
Skulduggery	4	XLN
Skymarch Bloodletter	5	XLN
Spreading Rot	6	XLN
Sword-Point Diplomacy	1	XLN
Vanquish the Weak	4	XLN
Vicious Conquistador	5	XLN
Vraska's Contempt	2	XLN
Walk the Plank	3	XLN
Wanted Scoundrels	4	XLN
Bonded Horncrest	2	XLN
Brazen Buccaneers	5	XLN
Captain Lannery Storm	2	XLN
Captivating Crew	1	XLN
Charging Monstrosaur	4	XLN
Demolish	8	XLN
Demolish	6	KLD
Dinosaur Stampede	4	XLN
Dual Shot	7	XLN
Fathom Fleet Firebrand	5	XLN
Fiery Cannonade	3	XLN
Fire Shrine Keeper	4	XLN
Firecannon Blast	5	XLN
Frenzied Raptor	9	XLN
Headstrong Brute	6	XLN
Hijack	6	XLN
Hijack	3	KLD
Lightning Strike	4	XLN
Lightning-Rig Crew	1	XLN
Makeshift Munitions	1	XLN
Nest Robber	7	XLN
Otepec Huntmaster	3	XLN
Raptor Hatchling	1	XLN
Repeating Barrage	2	XLN
Rigging Runner	1	XLN
Rile	5	XLN
Rowdy Crew	1	XLN
Rummaging Goblin	6	XLN
Storm Fleet Arsonist	1	XLN
Storm Fleet Pyromancer	6	XLN
Sun-Crowned Hunters	6	XLN
Sure Strike	7	XLN
Swashbuckling	4	XLN
Thrash of Raptors	6	XLN
Tilonalli's Knight	8	XLN
Tilonalli's Skinshifter	2	XLN
Trove of Temptation	2	XLN
Unfriendly Fire	4	XLN
Vance's Blasting Cannons	2	XLN
Wily Goblin	2	XLN
Ancient Brontodon	5	XLN
Atzocan Archer	2	XLN
Blinding Fog	3	XLN
Blossom Dryad	8	XLN
Carnage Tyrant	1	XLN
Commune with Dinosaurs	5	XLN
Crash the Ramparts	5	XLN
Crushing Canopy	5	XLN
Deathgorge Scavenger	1	XLN
Deeproot Champion	1	XLN
Deeproot Warrior	7	XLN
Drover of the Mighty	3	XLN
Emergent Growth	3	XLN
Emperor's Vanguard	1	XLN
Grazing Whiptail	4	XLN
Growing Rites of Itlimoc	1	XLN
Ixalli's Diviner	4	XLN
Ixalli's Keeper	7	XLN
Jade Guardian	12	XLN
Jungle Delver	8	XLN
Kumena's Speaker	5	XLN
Merfolk Branchwalker	3	XLN
New Horizons	5	XLN
Old-Growth Dryads	1	XLN
Pounce	5	XLN
Ranging Raptors	2	XLN
Ravenous Daggertooth	4	XLN
River Heralds' Boon	9	XLN
Savage Stomp	3	XLN
Slice in Twain	1	XLN
Spike-Tailed Ceratops	4	XLN
Thundering Spineback	2	XLN
Tishana's Wayfinder	6	XLN
Verdant Rebirth	4	XLN
Verdant Sun's Avatar	2	XLN
Vineshaper Mystic	5	XLN
Waker of the Wilds	1	XLN
Wildgrowth Walker	2	XLN
Admiral Beckett Brass	1	XLN
Belligerent Brontodon	2	XLN
Call to the Feast	3	XLN
Deadeye Plunderers	4	XLN
Dire Fleet Captain	6	XLN
Hostage Taker	1	XLN
Marauding Looter	1	XLN
Raging Swordtooth	1	XLN
Regisaur Alpha	1	XLN
Shapers of Nature	4	XLN
Sky Terror	4	XLN
Tishana, Voice of Thunder	1	XLN
Vona, Butcher of Magan	1	XLN
Vraska, Relic Seeker	1	XLN
Cobbled Wings	8	XLN
Conqueror's Galleon	1	XLN
Dowsing Dagger	1	XLN
Dusk Legion Dreadnought	1	XLN
Elaborate Firecannon	1	XLN
Gilded Sentinel	6	XLN
Hierophant's Chalice	8	XLN
Pillar of Origins	3	XLN
Pirate's Cutlass	8	XLN
Prying Blade	4	XLN
Sentinel Totem	3	XLN
Shadowed Caravel	1	XLN
Sorcerous Spyglass	2	XLN
Vanquisher's Banner	2	XLN
Drowned Catacomb	1	XLN
Field of Ruin	3	XLN
Rootbound Crag	1	XLN
Sunpetal Grove	1	XLN
Unclaimed Territory	4	XLN
Unknown Shores	6	XLN
Jace, Ingenious Mind-Mage	1	XLN
Castaway's Despair	4	XLN
Grasping Current	2	XLN
Jace's Sentinel	3	XLN
Act of Heroism	5	HOU
Angel of the God-Pharaoh	2	HOU
Aven of Enduring Hope	5	HOU
Crested Sunmare	1	HOU
Dauntless Aven	5	HOU
Desert's Hold	2	HOU
Disposal Mummy	6	HOU
Djeru, With Eyes Open	1	HOU
Djeru's Renunciation	8	HOU
Dutiful Servants	5	HOU
Gideon's Defeat	1	HOU
God-Pharaoh's Faithful	5	HOU
Hour of Revelation	1	HOU
Mummy Paramount	6	HOU
Oketra's Avenger	6	HOU
Overwhelming Splendor	1	HOU
Sandblast	5	HOU
Saving Grace	2	HOU
Solemnity	1	HOU
Solitary Camel	4	HOU
Steadfast Sentinel	6	HOU
Steward of Solidarity	2	HOU
Sunscourge Champion	1	HOU
Unconventional Tactics	2	HOU
Vizier of the True	2	HOU
Aerial Guide	6	HOU
Aven Reedstalker	6	HOU
Champion of Wits	1	HOU
Countervailing Winds	5	HOU
Cunning Survivor	5	HOU
Eternal of Harsh Truths	3	HOU
Fraying Sanity	1	HOU
Hour of Eternity	1	HOU
Imaginary Threats	2	HOU
Jace's Defeat	2	HOU
Kefnet's Last Word	1	HOU
Nimble Obstructionist	1	HOU
Ominous Sphinx	1	HOU
Proven Combatant	6	HOU
Riddleform	2	HOU
Seer of the Last Tomorrow	3	HOU
Sinuous Striker	2	HOU
Spellweaver Eternal	6	HOU
Strategic Planning	8	HOU
Striped Riverwinder	5	HOU
Supreme Will	4	HOU
Tragic Lesson	6	HOU
Unesh, Criosphinx Sovereign	1	HOU
Unquenchable Thirst	7	HOU
Unsummon	8	HOU
Vizier of the Anointed	2	HOU
Accursed Horde	2	HOU
Ammit Eternal	1	HOU
Banewhip Punisher	1	HOU
Bontu's Last Reckoning	1	HOU
Carrion Screecher	4	HOU
Doomfall	2	HOU
Grisly Survivor	5	HOU
Khenra Eternal	6	HOU
Lethal Sting	6	HOU
Liliana's Defeat	2	HOU
Lurching Rotbeast	7	HOU
Marauding Boneslasher	5	HOU
Merciless Eternal	3	HOU
Moaning Wall	6	HOU
Razaketh's Rite	2	HOU
Ruin Rat	6	HOU
Scrounger of Souls	7	HOU
Torment of Hailfire	1	HOU
Torment of Scarabs	2	HOU
Torment of Venom	5	HOU
Without Weakness	4	HOU
Vile Manifestation	3	HOU
Wretched Camel	6	HOU
Abrade	4	HOU
Blur of Blades	5	HOU
Burning-Fist Minotaur	2	HOU
Chandra's Defeat	1	HOU
Chaos Maw	1	HOU
Crash Through	6	HOU
Defiant Khenra	6	HOU
Earthshaker Khenra	1	HOU
Fervent Paincaster	2	HOU
Firebrand Archer	6	HOU
Frontline Devastator	6	HOU
Gilded Cerodon	6	HOU
Granitic Titan	6	HOU
