Name	Count	set_code
Haunted Fengraf	1	A25
Zoetic Cavern	1	A25
Brazen Scourge	1	KLD
Built to Smash	3	KLD
Cathartic Reunion	3	KLD
Chandra's Pyrohelix	4	KLD
Combustible Gearhulk	1	KLD
Fateful Showdown	1	KLD
Furious Reprisal	2	KLD
Giant Spectacle	3	KLD
Harnessed Lightning	2	KLD
Incendiary Sabotage	2	KLD
Lathnu Hellion	1	KLD
Maulfist Doorbuster	1	KLD
Pia Nalaar	1	KLD
Quicksmith Genius	3	KLD
Reckless Fireweaver	3	KLD
Renegade Tactics	3	KLD
Ruinous Gremlin	4	KLD
Salivating Gremlins	4	KLD
Spark of Creativity	2	KLD
Speedway Fanatic	1	KLD
Spireside Infiltrator	2	KLD
Spontaneous Artist	4	KLD
Start Your Engines	3	KLD
Territorial Gorger	1	KLD
Terror of the Fairgrounds	3	KLD
Thriving Grubs	5	KLD
Wayward Giant	1	KLD
Welding Sparks	4	KLD
Appetite for the Unnatural	3	KLD
Arborback Stomper	3	KLD
Armorcraft Judge	1	KLD
Attune with Aether	4	KLD
Blossoming Defense	4	KLD
Bristling Hydra	1	KLD
Commencement of Festivities	5	KLD
Cowl Prowler	5	KLD
Creeping Mold	1	KLD
Dubious Challenge	1	KLD
Durable Handicraft	4	KLD
Elegant Edgecrafters	1	KLD
Fairgrounds Trumpeter	2	KLD
Ghirapur Guide	1	KLD
Highspire Artisan	3	KLD
Kujar Seedsculptor	2	KLD
Larger Than Life	5	KLD
Nature's Way	1	KLD
Ornamental Courage	3	KLD
Oviya Pashiri, Sage Lifecrafter	1	KLD
Peema Outrider	3	KLD
Riparian Tiger	5	KLD
Sage of Shaila's Claim	3	KLD
Servant of the Conduit	2	KLD
Take Down	4	KLD
Thriving Rhino	3	KLD
Verdurous Gearhulk	1	KLD
Wild Wanderer	5	KLD
Wildest Dreams	1	KLD
Wily Bandar	2	KLD
Terrain Elemental	1	KLD
Depala, Pilot Exemplar	1	KLD
Empyreal Voyager	1	KLD
Engineered Might	1	KLD
Hazardous Conditions	1	KLD
Kambal, Consul of Allocation	1	KLD
Restoration Gearsmith	2	KLD
Unlicensed Disintegration	2	KLD
Veteran Motorist	2	KLD
Voltaic Brawler	3	KLD
Whirler Virtuoso	2	KLD
Accomplished Automaton	2	KLD
Aetherflux Reservoir	1	KLD
Aradara Express	4	KLD
Ballista Charger	2	KLD
Bastion Mastodon	3	KLD
Bomat Bazaar Barge	2	KLD
Bomat Courier	1	KLD
Chief of the Foundry	1	KLD
Cogworker's Puzzleknot	4	KLD
Consulate Skygate	6	KLD
Decoction Module	1	KLD
Dukhara Peafowl	5	KLD
Dynavolt Tower	1	KLD
Eager Construct	4	KLD
Fabrication Module	1	KLD
Filigree Familiar	2	KLD
Fireforger's Puzzleknot	3	KLD
Glassblower's Puzzleknot	3	KLD
Inventor's Goggles	4	KLD
Metalspinner's Puzzleknot	2	KLD
Multiform Wonder	1	KLD
Narnam Cobra	4	KLD
Ovalchase Dragster	4	KLD
Perpetual Timepiece	1	KLD
Prakhata Pillar-Bug	4	KLD
Renegade Freighter	3	KLD
Self-Assembler	5	KLD
Sky Skiff	3	KLD
Smuggler's Copter	1	KLD
Snare Thopter	1	KLD
Torch Gauntlet	2	KLD
Weldfast Monitor	4	KLD
Whirlermaker	1	KLD
Woodweaver's Puzzleknot	2	KLD
Workshop Assistant	4	KLD
Aether Hub	1	KLD
Blooming Marsh	2	KLD
Botanical Sanctum	4	KLD
Inspiring Vantage	1	KLD
Inventors' Fair	1	KLD
Sequestered Stash	3	KLD
Erase	1	KTK
Jeskai Student	1	KTK
Embodiment of Spring	1	KTK
Krumar Bond-Kin	1	KTK
Summit Prowler	1	KTK
Summit Prowler	3	DTK
War-Name Aspirant	1	KTK
Abzan Guide	1	KTK
Mantis Rider	1	KTK
Sultai Charm	1	KTK
Scion of Ugin	1	DTK
Belltoll Dragon	2	DTK
Glint	3	DTK
Mirror Mockery	2	DTK
Silumgar's Scorn	1	DTK
Dragonlord's Servant	3	DTK
Hardened Berserker	3	DTK
Lightning Berserker	3	DTK
Rending Volley	2	DTK
Stormwing Dragon	1	DTK
Thunderbreak Regent	1	DTK
Vandalize	4	DTK
Draconic Roar	2	DTK
Dragon Tempest	1	DTK
Impact Tremors	2	DTK
Sarkhan's Triumph	1	DTK
Tormenting Voice	4	DTK
Warbringer	2	DTK
Ainok Survivalist	2	DTK
Atarka Beastbreaker	4	DTK
Dromoka's Gift	2	DTK
Explosive Vegetation	2	DTK
Herdchaser Dragon	1	DTK
Inspiring Call	3	DTK
Scaleguard Sentinels	1	DTK
Shape the Sands	1	DTK
Sheltered Aerie	4	DTK
Sight of the Scalelords	2	DTK
Atarka's Command	1	DTK
Boltwing Marauder	1	DTK
Cunning Breezedancer	1	DTK
Dragonlord Kolaghan	1	DTK
Dromoka's Command	1	DTK
Harbinger of the Hunt	1	DTK
Kolaghan's Command	1	DTK
Necromaster Dragon	1	DTK
Pristine Skywise	1	DTK
Ruthless Deathfang	1	DTK
Sarkhan Unbroken	1	DTK
Silumgar's Command	1	DTK
Swift Warkite	2	DTK
Disdainful Stroke	1	KTK
Barrage of Boulders	1	KTK
Become Immense	1	KTK
Feed the Clan	1	KTK
Arashin Foremost	1	DTK
Artful Maneuver	4	DTK
Aven Sunstriker	1	DTK
Aven Tactician	2	DTK
Battle Mastery	3	DTK
Center Soul	3	DTK
Champion of Arashin	4	DTK
Dragon Hunter	2	DTK
Dragon's Eye Sentry	4	DTK
Dromoka Captain	1	DTK
Dromoka Dunecaster	4	DTK
Dromoka Warrior	4	DTK
Echoes of the Kin Tree	2	DTK
Enduring Victory	3	DTK
Fate Forgotten	2	DTK
Glaring Aegis	4	DTK
Herald of Dromoka	3	DTK
Hidden Dragonslayer	1	DTK
Lightwalker	3	DTK
Misthoof Kirin	3	DTK
Myth Realized	1	DTK
Ojutai Exemplars	1	DTK
Orator of Ojutai	2	DTK
Pacifism	3	DTK
Radiant Purge	1	DTK
Resupply	4	DTK
Sandcrafter Mage	3	DTK
Sandstorm Charger	4	DTK
Scale Blessing	2	DTK
Shieldhide Dragon	1	DTK
Silkwrap	1	DTK
Strongarm Monk	3	DTK
Student of Ojutai	3	DTK
Sunscorch Regent	1	DTK
Surge of Righteousness	1	DTK
Territorial Roc	4	DTK
Ancient Carp	4	DTK
Anticipate	3	DTK
Contradict	4	DTK
Dance of the Skywise	2	DTK
Dirgur Nemesis	4	DTK
Elusive Spellfist	3	DTK
Encase in Ice	2	DTK
Gudul Lurker	3	DTK
Gurmag Drowner	4	DTK
Living Lore	1	DTK
Monastery Loremaster	2	DTK
Mystic Meditation	4	DTK
Ojutai Interceptor	4	DTK
Ojutai's Breath	3	DTK
Ojutai's Summons	4	DTK
Palace Familiar	3	DTK
Reduce in Stature	3	DTK
Sidisi's Faithful	5	DTK
Sight Beyond Sight	1	DTK
Silumgar Sorcerer	1	DTK
Silumgar Spell-Eater	1	DTK
Skywise Teachings	2	DTK
Taigam's Strike	2	DTK
Updraft Elemental	4	DTK
Void Squall	1	DTK
Youthful Scholar	2	DTK
Zephyr Scribe	3	DTK
Acid-Spewer Dragon	3	DTK
Ambuscade Shaman	1	DTK
Blood-Chin Rager	1	DTK
Butcher's Glee	2	DTK
Coat with Venom	4	DTK
Damnable Pact	1	DTK
Defeat	3	DTK
Dutiful Attendant	3	DTK
Flatten	3	DTK
Foul-Tongue Invocation	1	DTK
Foul-Tongue Shriek	4	DTK
Gravepurge	4	DTK
Hand of Silumgar	5	DTK
Hedonist's Trove	1	DTK
Kolaghan Skirmisher	2	DTK
Marang River Skeleton	2	DTK
Marsh Hulk	4	DTK
Minister of Pain	2	DTK
Qarsi Sadist	3	DTK
Rakshasa Gravecaller	2	DTK
Reckless Imp	4	DTK
Risen Executioner	1	DTK
Self-Inflicted Wound	2	DTK
Shambling Goblin	3	DTK
Sibsig Icebreakers	3	DTK
Silumgar Butcher	5	DTK
Virulent Plague	1	DTK
Vulturous Aven	4	DTK
Wandering Tombshell	4	DTK
Atarka Efreet	3	DTK
Commune with Lava	1	DTK
Crater Elemental	1	DTK
Dragon Fodder	3	DTK
Ire Shaman	1	DTK
Kolaghan Aspirant	5	DTK
Kolaghan Forerunners	2	DTK
Kolaghan Stormsinger	3	DTK
Lose Calm	3	DTK
Magmatic Chasm	2	DTK
Roast	1	DTK
Sabertooth Outrider	4	DTK
Sarkhan's Rage	5	DTK
Screamreach Brawler	4	DTK
Seismic Rupture	1	DTK
Sprinting Warbrute	3	DTK
Tail Slash	3	DTK
Twin Bolt	3	DTK
Volcanic Rush	3	DTK
Volcanic Vision	1	DTK
Zurgo Bellstriker	1	DTK
Aerie Bowmasters	4	DTK
Ainok Artillerist	4	DTK
Assault Formation	1	DTK
Avatar of the Resolute	1	DTK
Collected Company	1	DTK
Colossodon Yearling	5	DTK
Conifer Strider	2	DTK
Deathmist Raptor	1	DTK
Display of Dominance	2	DTK
Dragon-Scarred Bear	6	DTK
Epic Confrontation	2	DTK
Glade Watcher	4	DTK
Guardian Shield-Bearer	3	DTK
Lurking Arynx	1	DTK
Pinion Feast	3	DTK
Press the Advantage	1	DTK
Revealing Wind	4	DTK
Salt Road Ambushers	1	DTK
Sandsteppe Scavenger	4	DTK
Segmented Krotiq	3	DTK
Servant of the Scale	2	DTK
Stampeding Elk Herd	3	DTK
Sunbringer's Touch	1	DTK
Surrak, the Hunt Caller	1	DTK
Tread Upon	3	DTK
Ancestral Statue	3	DTK
Atarka Monument	2	DTK
Custodian of the Trove	3	DTK
Dragonloft Idol	2	DTK
Dromoka Monument	2	DTK
Gate Smasher	1	DTK
Keeper of the Lens	5	DTK
Kolaghan Monument	1	DTK
Ojutai Monument	2	DTK
Spidersilk Net	3	DTK
Stormrider Rig	2	DTK
Tapestry of the Ages	2	DTK
Vial of Dragonfire	5	DTK
Haven of the Spirit Dragon	1	DTK
